actual,predicted
0.4586,0.4348168138923983
0.3933,0.40059137290185304
0.3412,0.32907663424394246
0.1049,0.10566178006432414
2.8858,2.8961163323691834
1.8696,1.7478571437689674
0.0998,0.0971688194114709
0.1074,0.10734585707070704
1.1493,1.1857102125488324
0.3642999999999999,0.3524619219821845
0.0739,0.07839041482893182
0.0834,0.0759666118955133
4.4483,4.589495810677965
5.019,4.93792780847241
2.6584,2.774350923528023
3.9543,3.9549477676850917
1.891,1.6761888495528345
3.8528,3.927897727023007
3.4917,3.55529881381421
1.3482,1.1860887962909499
0.4077,0.38988698615428674
0.2793,0.2873201037434787
5.1061,5.264564618821091
6.5933,6.845452228742337
1.3633,1.251914189208014
4.6787,4.632376080138489
2.774,2.710927332491283
2.088,2.1261266481343815
4.2412,4.1819698970589165
0.6317,0.7314834679343317
0.2216999999999999,0.22677391233113287
6.3432,6.290994956636174
1.4153,1.2751308659176779
1.241,1.2639864682981239
0.0788,0.08663349356333976
0.2596,0.25096695239703115
0.081,0.08706214318883732
0.3933999999999999,0.37898535876949857
0.3671,0.3567965654067337
4.4818,4.842697469836871
1.0935,1.1821453800987587
0.1063,0.10357673171273168
4.5039,4.897876147046746
0.0881,0.08323091264805459
6.9096,6.963629121023339
0.08,0.0873754844981489
1.2488,1.2540630263129888
0.0919,0.09459367620865976
4.2403,4.142318528096593
0.3272,0.3404018035530645
7.2703,7.547930110289222
0.0772,0.08285268849508337
1.253,1.1929638273433942
0.0903,0.09658988312602432
1.8305,1.7233062770995344
0.388,0.397660149891775
0.3502,0.3297031252307334
0.3091,0.3220806906208169
0.3248999999999999,0.3413481276692907
6.0993,6.296077528712138
3.2494,3.2001771637178957
0.7613000000000001,0.7277372619358329
0.0969,0.09699670222971477
3.0403,2.8909051978493716
0.3055,0.30224218122131136
0.3245,0.3233763134870031
0.0818,0.09080603897014852
6.1743,6.312882039104933
0.2377999999999999,0.24607931490870244
2.7765,2.5936842984167807
5.5815,5.069081440548339
4.6004,4.498296692120197
5.3558,4.911094982502581
0.1063,0.1008610727921846
0.0673,0.07059708262487854
0.3746,0.3793120798317565
0.4684999999999999,0.47915481457692666
4.7656,4.647598728947361
0.0998,0.10135062527113417
0.0943,0.08610044598549887
0.1082,0.11037499717431264
0.0939,0.09002491494298182
0.0838,0.0882704221966574
0.0936,0.08710176141373249
5.4897,5.205576313826331
3.1532,3.3452910008699646
4.8097,4.4340455906906815
0.0793,0.07786864111182937
0.0973,0.10124902455880463
1.7226,1.7366353393904301
0.0673,0.06631957004980311
0.1023,0.1081773680319294
0.3429999999999999,0.3231185554177032
0.5019,0.48309649596359544
0.288,0.2821824768760507
0.0693,0.07705115958826178
4.5982,4.231597734206938
5.355,5.615120488094452
6.1056,5.65512691203024
0.0986,0.09549836986036837
1.379,1.1849873368727537
5.0148,5.231998380877293
4.3887,4.248654992051004
0.0781,0.08282677616867996
0.1008,0.09442126845703318
0.305,0.29865243664668667
0.2607,0.2659082132381507
0.3653,0.3543008793650578
6.8069,7.06372875532229
5.6462,5.838235824861661
0.07,0.07580990735892504
0.0904,0.08877517884865137
0.2893,0.28817936698579194
0.0795,0.08343424421509864
3.7902,3.8352663467426886
0.0786,0.08877119157783393
7.9758,7.5534695664619695
4.0985,3.9763438605232495
0.0889,0.083337190463776
1.6943,1.7796861685847645
0.3172,0.3068626196831375
0.3377,0.3419046776705234
0.3069,0.30218481046869805
1.59,1.7300197870895357
0.8507,0.7282595006381694
1.1394,1.2089960648759737
1.8128,1.7284363508851448
0.1038,0.10533725816862875
0.0889,0.10331800211561315
0.3393,0.3315705118672263
4.3608,4.173191143842815
2.1993,2.2042316877508075
0.0894,0.0844010368687599
0.0835,0.08533925399556155
2.439,2.5019263340039863
0.24,0.23999999999999957
0.1022,0.10125162249254015
0.2231,0.22536346203747212
0.0648,0.07442641528727123
0.0814,0.08344798163477389
