timestamp,room,device,power_watts,temperature,humidity,is_device_on,hour,day_of_week,month,day,is_weekend,date,energy_kwh,time_period,room_encoded,device_encoded
2025-10-24 19:00:00,Living Room,AC,50.0,14.0,52.8,0,19,4,10,24,0,2025-10-24,0.0125,Evening,3,0
2025-10-24 19:00:00,Living Room,Fan,5.0,12.3,51.1,0,19,4,10,24,0,2025-10-24,0.0012,Evening,3,1
2025-10-24 19:00:00,Living Room,Lights,2.0,12.5,47.5,0,19,4,10,24,0,2025-10-24,0.0005,Evening,3,3
2025-10-24 19:00:00,Bedroom,AC,1265.6,10.8,60.1,1,19,4,10,24,0,2025-10-24,0.3164,Evening,1,0
2025-10-24 19:00:00,Bedroom,Fan,5.0,11.6,52.6,0,19,4,10,24,0,2025-10-24,0.0012,Evening,1,1
2025-10-24 19:00:00,Bedroom,Lights,42.7,10.1,50.2,1,19,4,10,24,0,2025-10-24,0.0107,Evening,1,3
2025-10-24 19:00:00,Kitchen,Lights,63.3,14.9,55.7,1,19,4,10,24,0,2025-10-24,0.0158,Evening,2,3
2025-10-24 19:00:00,Kitchen,Heater,10.0,16.1,56.4,0,19,4,10,24,0,2025-10-24,0.0025,Evening,2,2
2025-10-24 19:00:00,Office,AC,50.0,13.1,48.3,0,19,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 19:00:00,Office,Fan,5.0,14.1,42.7,0,19,4,10,24,0,2025-10-24,0.0012,Evening,4,1
2025-10-24 19:00:00,Office,Lights,67.5,12.7,44.5,1,19,4,10,24,0,2025-10-24,0.0169,Evening,4,3
2025-10-24 19:00:00,Bathroom,Lights,46.6,14.0,63.3,1,19,4,10,24,0,2025-10-24,0.0116,Evening,0,3
2025-10-24 19:00:00,Bathroom,Heater,1453.6,13.9,67.2,1,19,4,10,24,0,2025-10-24,0.3634,Evening,0,2
2025-10-24 19:15:00,Living Room,AC,50.0,13.0,31.5,0,19,4,10,24,0,2025-10-24,0.0125,Evening,3,0
2025-10-24 19:15:00,Living Room,Fan,71.8,11.7,37.8,1,19,4,10,24,0,2025-10-24,0.018,Evening,3,1
2025-10-24 19:15:00,Living Room,Lights,2.0,14.9,29.3,0,19,4,10,24,0,2025-10-24,0.0005,Evening,3,3
2025-10-24 19:15:00,Bedroom,AC,50.0,11.3,37.7,0,19,4,10,24,0,2025-10-24,0.0125,Evening,1,0
2025-10-24 19:15:00,Bedroom,Fan,85.4,10.0,40.2,1,19,4,10,24,0,2025-10-24,0.0214,Evening,1,1
2025-10-24 19:15:00,Bedroom,Lights,2.0,12.4,32.7,0,19,4,10,24,0,2025-10-24,0.0005,Evening,1,3
2025-10-24 19:15:00,Kitchen,Lights,2.0,16.5,39.0,0,19,4,10,24,0,2025-10-24,0.0005,Evening,2,3
2025-10-24 19:15:00,Kitchen,Heater,2022.8,14.8,49.6,1,19,4,10,24,0,2025-10-24,0.5057,Evening,2,2
2025-10-24 19:15:00,Office,AC,50.0,13.5,27.7,0,19,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 19:15:00,Office,Fan,71.2,11.5,33.6,1,19,4,10,24,0,2025-10-24,0.0178,Evening,4,1
2025-10-24 19:15:00,Office,Lights,2.0,14.4,22.9,0,19,4,10,24,0,2025-10-24,0.0005,Evening,4,3
2025-10-24 19:15:00,Bathroom,Lights,35.7,15.2,47.6,1,19,4,10,24,0,2025-10-24,0.0089,Evening,0,3
2025-10-24 19:15:00,Bathroom,Heater,1494.2,13.6,56.4,1,19,4,10,24,0,2025-10-24,0.3736,Evening,0,2
2025-10-24 19:30:00,Living Room,AC,1494.9,16.3,48.3,1,19,4,10,24,0,2025-10-24,0.3737,Evening,3,0
2025-10-24 19:30:00,Living Room,Fan,65.8,16.7,46.6,1,19,4,10,24,0,2025-10-24,0.0164,Evening,3,1
2025-10-24 19:30:00,Living Room,Lights,56.0,16.1,45.4,1,19,4,10,24,0,2025-10-24,0.014,Evening,3,3
2025-10-24 19:30:00,Bedroom,AC,50.0,14.9,54.8,0,19,4,10,24,0,2025-10-24,0.0125,Evening,1,0
2025-10-24 19:30:00,Bedroom,Fan,5.0,15.1,47.2,0,19,4,10,24,0,2025-10-24,0.0012,Evening,1,1
2025-10-24 19:30:00,Bedroom,Lights,54.8,13.8,48.4,1,19,4,10,24,0,2025-10-24,0.0137,Evening,1,3
2025-10-24 19:30:00,Kitchen,Lights,75.9,18.1,54.7,1,19,4,10,24,0,2025-10-24,0.019,Evening,2,3
2025-10-24 19:30:00,Kitchen,Heater,2255.6,20.0,47.8,1,19,4,10,24,0,2025-10-24,0.5639,Evening,2,2
2025-10-24 19:30:00,Office,AC,50.0,16.8,44.1,0,19,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 19:30:00,Office,Fan,5.0,17.2,37.4,0,19,4,10,24,0,2025-10-24,0.0012,Evening,4,1
2025-10-24 19:30:00,Office,Lights,67.8,15.1,37.6,1,19,4,10,24,0,2025-10-24,0.017,Evening,4,3
2025-10-24 19:30:00,Bathroom,Lights,2.0,17.0,61.5,0,19,4,10,24,0,2025-10-24,0.0005,Evening,0,3
2025-10-24 19:30:00,Bathroom,Heater,10.0,17.9,56.9,0,19,4,10,24,0,2025-10-24,0.0025,Evening,0,2
2025-10-24 19:45:00,Living Room,AC,50.0,15.2,51.6,0,19,4,10,24,0,2025-10-24,0.0125,Evening,3,0
2025-10-24 19:45:00,Living Room,Fan,70.0,16.9,52.0,1,19,4,10,24,0,2025-10-24,0.0175,Evening,3,1
2025-10-24 19:45:00,Living Room,Lights,2.0,14.5,44.4,0,19,4,10,24,0,2025-10-24,0.0005,Evening,3,3
2025-10-24 19:45:00,Bedroom,AC,50.0,12.1,59.0,0,19,4,10,24,0,2025-10-24,0.0125,Evening,1,0
2025-10-24 19:45:00,Bedroom,Fan,5.0,13.3,56.3,0,19,4,10,24,0,2025-10-24,0.0012,Evening,1,1
2025-10-24 19:45:00,Bedroom,Lights,2.0,12.1,48.5,0,19,4,10,24,0,2025-10-24,0.0005,Evening,1,3
2025-10-24 19:45:00,Kitchen,Lights,2.0,17.7,54.4,0,19,4,10,24,0,2025-10-24,0.0005,Evening,2,3
2025-10-24 19:45:00,Kitchen,Heater,1945.9,18.5,52.7,1,19,4,10,24,0,2025-10-24,0.4865,Evening,2,2
2025-10-24 19:45:00,Office,AC,50.0,14.8,51.2,0,19,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 19:45:00,Office,Fan,5.0,15.5,47.9,0,19,4,10,24,0,2025-10-24,0.0012,Evening,4,1
2025-10-24 19:45:00,Office,Lights,2.0,15.1,41.2,0,19,4,10,24,0,2025-10-24,0.0005,Evening,4,3
2025-10-24 19:45:00,Bathroom,Lights,2.0,14.5,60.2,0,19,4,10,24,0,2025-10-24,0.0005,Evening,0,3
2025-10-24 19:45:00,Bathroom,Heater,10.0,16.5,58.8,0,19,4,10,24,0,2025-10-24,0.0025,Evening,0,2
2025-10-24 20:00:00,Living Room,AC,50.0,13.4,47.3,0,20,4,10,24,0,2025-10-24,0.0125,Evening,3,0
2025-10-24 20:00:00,Living Room,Fan,5.0,13.5,50.1,0,20,4,10,24,0,2025-10-24,0.0012,Evening,3,1
2025-10-24 20:00:00,Living Room,Lights,60.8,13.1,39.9,1,20,4,10,24,0,2025-10-24,0.0152,Evening,3,3
2025-10-24 20:00:00,Bedroom,AC,1400.5,12.5,52.1,1,20,4,10,24,0,2025-10-24,0.3501,Evening,1,0
2025-10-24 20:00:00,Bedroom,Fan,68.4,11.2,53.4,1,20,4,10,24,0,2025-10-24,0.0171,Evening,1,1
2025-10-24 20:00:00,Bedroom,Lights,2.0,10.6,47.5,0,20,4,10,24,0,2025-10-24,0.0005,Evening,1,3
2025-10-24 20:00:00,Kitchen,Lights,2.0,16.1,51.8,0,20,4,10,24,0,2025-10-24,0.0005,Evening,2,3
2025-10-24 20:00:00,Kitchen,Heater,10.0,15.6,47.0,0,20,4,10,24,0,2025-10-24,0.0025,Evening,2,2
2025-10-24 20:00:00,Office,AC,50.0,13.7,43.3,0,20,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 20:00:00,Office,Fan,78.4,13.5,44.9,1,20,4,10,24,0,2025-10-24,0.0196,Evening,4,1
2025-10-24 20:00:00,Office,Lights,72.3,13.0,38.5,1,20,4,10,24,0,2025-10-24,0.0181,Evening,4,3
2025-10-24 20:00:00,Bathroom,Lights,2.0,13.6,57.7,0,20,4,10,24,0,2025-10-24,0.0005,Evening,0,3
2025-10-24 20:00:00,Bathroom,Heater,10.0,13.8,57.8,0,20,4,10,24,0,2025-10-24,0.0025,Evening,0,2
2025-10-24 20:15:00,Living Room,AC,1568.0,31.0,61.6,1,20,4,10,24,0,2025-10-24,0.392,Evening,3,0
2025-10-24 20:15:00,Living Room,Fan,80.0,29.4,50.3,1,20,4,10,24,0,2025-10-24,0.02,Evening,3,1
2025-10-24 20:15:00,Living Room,Lights,55.9,31.1,56.0,1,20,4,10,24,0,2025-10-24,0.014,Evening,3,3
2025-10-24 20:15:00,Bedroom,AC,50.0,28.3,63.5,0,20,4,10,24,0,2025-10-24,0.0125,Evening,1,0
2025-10-24 20:15:00,Bedroom,Fan,5.0,26.8,56.8,0,20,4,10,24,0,2025-10-24,0.0012,Evening,1,1
2025-10-24 20:15:00,Bedroom,Lights,48.6,28.3,60.4,1,20,4,10,24,0,2025-10-24,0.0122,Evening,1,3
2025-10-24 20:15:00,Kitchen,Lights,66.9,34.1,67.1,1,20,4,10,24,0,2025-10-24,0.0167,Evening,2,3
2025-10-24 20:15:00,Kitchen,Heater,1889.2,32.2,65.7,1,20,4,10,24,0,2025-10-24,0.4723,Evening,2,2
2025-10-24 20:15:00,Office,AC,50.0,30.4,55.7,0,20,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 20:15:00,Office,Fan,79.2,28.1,47.7,1,20,4,10,24,0,2025-10-24,0.0198,Evening,4,1
2025-10-24 20:15:00,Office,Lights,80.3,29.8,53.0,1,20,4,10,24,0,2025-10-24,0.0201,Evening,4,3
2025-10-24 20:15:00,Bathroom,Lights,48.1,30.5,72.3,1,20,4,10,24,0,2025-10-24,0.012,Evening,0,3
2025-10-24 20:15:00,Bathroom,Heater,10.0,29.8,72.7,0,20,4,10,24,0,2025-10-24,0.0025,Evening,0,2
2025-10-24 20:30:00,Living Room,AC,50.0,12.4,32.8,0,20,4,10,24,0,2025-10-24,0.0125,Evening,3,0
2025-10-24 20:30:00,Living Room,Fan,5.0,11.8,34.2,0,20,4,10,24,0,2025-10-24,0.0012,Evening,3,1
2025-10-24 20:30:00,Living Room,Lights,60.8,11.5,37.4,1,20,4,10,24,0,2025-10-24,0.0152,Evening,3,3
2025-10-24 20:30:00,Bedroom,AC,50.0,11.6,35.8,0,20,4,10,24,0,2025-10-24,0.0125,Evening,1,0
2025-10-24 20:30:00,Bedroom,Fan,5.0,9.3,34.8,0,20,4,10,24,0,2025-10-24,0.0012,Evening,1,1
2025-10-24 20:30:00,Bedroom,Lights,48.3,10.7,41.2,1,20,4,10,24,0,2025-10-24,0.0121,Evening,1,3
2025-10-24 20:30:00,Kitchen,Lights,72.9,14.6,45.9,1,20,4,10,24,0,2025-10-24,0.0182,Evening,2,3
2025-10-24 20:30:00,Kitchen,Heater,10.0,13.8,35.3,0,20,4,10,24,0,2025-10-24,0.0025,Evening,2,2
2025-10-24 20:30:00,Office,AC,50.0,13.0,29.0,0,20,4,10,24,0,2025-10-24,0.0125,Evening,4,0
2025-10-24 20:30:00,Office,Fan,5.0,12.8,26.6,0,20,4,10,24,0,2025-10-24,0.0012,Evening,4,1
2025-10-24 20:30:00,Office,Lights,70.9,12.9,33.9,1,20,4,10,24,0,2025-10-24,0.0177,Evening,4,3
2025-10-24 20:30:00,Bathroom,Lights,39.3,13.8,57.8,1,20,4,10,24,0,2025-10-24,0.0098,Evening,0,3
2025-10-24 20:30:00,Bathroom,Heater,1839.5,11.5,43.4,1,20,4,10,24,0,2025-10-24,0.4599,Evening,0,2
2025-10-24 20:45:00,Living Room,AC,1431.2,34.7,77.2,1,20,4,10,24,0,2025-10-24,0.3578,Evening,3,0
2025-10-24 20:45:00,Living Room,Fan,83.5,35.8,76.3,1,20,4,10,24,0,2025-10-24,0.0209,Evening,3,1
2025-10-24 20:45:00,Living Room,Lights,65.5,34.8,75.4,1,20,4,10,24,0,2025-10-24,0.0164,Evening,3,3
2025-10-24 20:45:00,Bedroom,AC,1287.4,33.7,84.3,1,20,4,10,24,0,2025-10-24,0.3219,Evening,1,0
2025-10-24 20:45:00,Bedroom,Fan,5.0,33.4,81.2,0,20,4,10,24,0,2025-10-24,0.0012,Evening,1,1
2025-10-24 20:45:00,Bedroom,Lights,46.2,31.9,80.6,1,20,4,10,24,0,2025-10-24,0.0116,Evening,1,3
2025-10-24 20:45:00,Kitchen,Lights,65.3,38.3,81.6,1,20,4,10,24,0,2025-10-24,0.0163,Evening,2,3
2025-10-24 20:45:00,Kitchen,Heater,10.0,37.8,89.0,0,20,4,10,24,0,2025-10-24,0.0025,Evening,2,2
2025-10-24 20:45:00,Office,AC,1565.1,34.6,71.8,1,20,4,10,24,0,2025-10-24,0.3913,Evening,4,0
2025-10-24 20:45:00,Office,Fan,5.0,36.1,74.8,0,20,4,10,24,0,2025-10-24,0.0012,Evening,4,1
2025-10-24 20:45:00,Office,Lights,86.8,34.9,72.3,1,20,4,10,24,0,2025-10-24,0.0217,Evening,4,3
